Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
"NPC, War Priest",Medium,Humanoid (Any Race),ANY,18,117,30,16,10,14,11,17,13,"CON, WIS","Intimidation, Religion",None,Normal,Any,9.00,Normal Spellcasting,Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Warlock of the Archfey",Medium,Humanoid (Any Race),ANY,11,49,30,9,13,11,11,12,18,"WIS, CHA","Arcana, Deception, nature, Persuasion",Charmedimmu,Normal,Any,4.00,"Innate Spellcasting, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Warlock of the Fiend",Medium,Humanoid (Any Race),ANY,12,78,30,10,14,15,12,12,18,"WIS, CHA","Arcana, Deception, Persuasion, Religion","Nonmagicalres, nonsilveredres",Darkvision 60,Any,7.00,"Innate SPellcasting, Normal Spellcasting, Dark One's Own Luck",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Warlock of the Great Old One",Medium,Humanoid (Any Race),ANY,12,91,30,9,14,15,12,12,18,"WIS, CHA","Arcana, History",Psychicres,Darkvision 60,"Any, telepathy 30",6.00,"Innate Spellcasting, Normal Spellcasting, Whispering Aura",Volo's Guide to Monsters,,Wizards of the Coast
"NPC, Warlord",Medium,Humanoid (Any Race),ANY,18,229,30,20,16,18,12,12,18,"STR, DEX, CON","Athletics, Intimidation, Perception, Persuasion",None,Normal,Any,12.00,"Indomitable, Survivor",Volo's Guide to Monsters,,Wizards of the Coast
Oblex Spawn,Tiny,Ooze,LE,13,18,20,8,16,15,14,11,10,"INT, CHA",None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,None,0.25,"Amorphous, Aversion to Fire",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Oblex, Adult",Medium,Ooze,LE,14,75,20,8,19,16,19,12,15,"INT, CHA","Deception, Perception, Arcana, History, Nature, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",5.00,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Oblex, Elder",Huge,Ooze,LE,16,115,20,15,16,21,22,13,18,"INT, CHA","Arcana, Deception, History, Nature, Perception, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",10.00,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre,Large,Giant,CE,11,59,40,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",2.00,None,Monster Manual,,Wizards of the Coast
Ogre Battering Ram,Large,Giant,CE,14,59,40,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",4.00,Siege Monster,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Bolt Launcher,Large,Giant,CE,13,59,40,19,12,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",2.00,None,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Chain Brute,Large,Giant,CE,11,59,40,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",3.00,None,Mordenkainen's Tome of Foes,,Wizards of the Coast
Ogre Howdah,Large,Giant,CE,13,59,40,19,8,16,5,7,7,None,None,None,Darkvision 60,"Common, Giant",2.00,Howdah,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Ogre, Half",Large,Giant,ANY CHAOTIC,12,30,30,17,10,14,7,9,10,None,None,None,Darkvision 60,"Common, Giant",1.00,None,Monster Manual,,Wizards of the Coast
Oni,Large,Giant,LE,16,110,"30, fly 30",19,11,16,14,12,15,"DEX, CON, WIS, CHA","Arcana, Deception, Perception",None,Darkvision 60,"Common, Giant",7.00,"Innate Spellcasting, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
Ooze Master,Huge,Undead,LE,9,138,"30, climb 30",16,1,20,17,10,16,"INT, WIS","Arcana, Insight","Lightningres, necroticres, nonmagicalres, acidimmu, coldimmu, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu",Blindsight 120,"Common, Primordial, Thayan",10.00,"Corrosive Form, Instinctive Attack, Normal Spellcasting, Spider Climb",Tales from the Yawning Portal,,Wizards of the Coast
"Ooze, Black Pudding",Large,Ooze,U,7,85,"20, climb 20",16,5,16,1,6,1,None,None,"Acidimmu, coldimmu, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,4.00,"Amorphous, Corrosive Form, Spider Climb",Monster Manual,,Wizards of the Coast
"Ooze, Gelatinous Cube",Large,Ooze,U,6,84,15,14,3,20,1,6,1,None,None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,2.00,"Ooze Cube, Transparent",Monster Manual,,Wizards of the Coast
"Ooze, Gray",Medium,Ooze,U,8,22,"10, climb 10",12,6,16,1,6,2,None,Stealth,"Acidres, coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,0.50,"Amorphous, Corrode Metal, False Appearance",Monster Manual,,Wizards of the Coast
"Ooze, Ochre Jelly",Large,Ooze,U,8,45,"10, climb 10",15,6,14,2,6,1,None,None,"Acidres, lightningimmu, slashingimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, proneimmu",Blindsight 60,None,2.00,"Amorphous, Spider Climb",Monster Manual,,Wizards of the Coast
Orc,Medium,Humanoid,CE,13,15,30,16,12,16,7,11,10,None,Intimidation,None,Darkvision 60,"Common, Orc",0.50,Aggressive,Monster Manual,,Wizards of the Coast
Orc Blade of Ilneval,Medium,Humanoid (Orc),CE,18,60,30,17,11,17,10,12,14,WIS,"Perception, Insight, Intimidation",None,Darkvision 60,"Common, Orc",4.00,"Aggressive, Foe Smiter of Ilneval",Volo's Guide to Monsters,,Wizards of the Coast
Orc Claw of Luthic,Medium,Humanoid (Orc),CE,14,45,30,14,15,16,10,15,11,None,"Intimidation, Medicine, Survival",None,Darkvision 60,"COmmon, Orc",2.00,"Aggressive, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Orc Eye of Gruumsh,Medium,Humanoid,CE,16,45,30,16,12,16,9,13,12,None,"Intimidation, Religion",None,Darkvision 60,"Common, Orc",2.00,"Aggressive, Gruumsh's Fury, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Orc Hand of Yurtrus,Medium,Humanoid (Orc),CE,12,30,30,12,11,16,11,14,9,None,"Arcana, Intimidation, Medicine, Religion",None,Darkvision 60,"Common, Orc",2.00,"Aggressive, Normal Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Orc Nurtured One of Yurtrus,Medium,Humanoid (Orc),CE,9,30,30,15,8,16,7,11,7,None,None,None,Darkvision 60,"Common, Orc",0.50,"Aggressive, Corrupted Carrier, Nurtured One of Yurtrus",Volo's Guide to Monsters,,Wizards of the Coast
Orc Red Fang of Shargaas,Medium,Humanoid (Orc),CE,15,52,30,11,16,15,9,11,9,None,"Intimidation, Perception, Stealth",None,Darkvision 60,"Common, Orc",3.00,"Cunning Action, Hand of Shargaas, Shargaas' Sight, Slayer",Volo's Guide to Monsters,,Wizards of the Coast
Orc War Chief,Medium,Humanoid,CE,16,93,30,18,12,18,11,11,16,"STR, CON, WIS",Intimidation,None,Darkvision 60,"Common, Orc",4.00,"Aggressive, Gruumsh's Fury",Monster Manual,,Wizards of the Coast
"Orc, Orog",Medium,Humanoid,CE,18,42,30,18,12,18,12,11,12,None,"Intimidation, Survival",None,Darkvision 60,"Common, Orc",2.00,Aggressive,Monster Manual,,Wizards of the Coast
"Orc, Tanarukk",Medium,"Fiend (Demon,Orc)",CE,14,95,30,18,13,20,9,9,9,None,"Intimidation, Perception","FIreres, poisonres",Darkvision 60,"Abyssal, Common, Orc",5.00,"Aggressive, Magic Resistance",Volo's Guide to Monsters,,Wizards of the Coast
Otyugh,Large,Aberration,N,14,114,30,16,11,19,6,13,6,CON,None,None,Darkvision 120,Own,5.00,Limited Telepathy,Monster Manual,,Wizards of the Coast
Owlbear,Large,Monstrosity,U,13,59,40,20,12,17,3,12,7,None,Perception,None,Darkvision 60,None,3.00,"Keen Sight, Keen Smell",Monster Manual,,Wizards of the Coast
Pegasus,Large,Celestial,CG,12,59,"60, fly 90",18,15,16,10,15,13,"DEX, WIS, CHA",Perception,None,Normal,"Celestial, Common, Elvish, Sylvan",2.00,None,Monster Manual,,Wizards of the Coast
Peryton,Medium,Monstrosity,CE,13,33,"20, fly 60",16,12,13,9,12,10,None,Perception,Nonmagicalres,Normal,"Common, Elvish",2.00,"Dive Attack, Flyby, Keen Sight, Keen Smell",Monster Manual,,Wizards of the Coast
Phantom Warrior,Medium,Undead,ANY,16,45,30,16,11,16,8,10,15,None,"Perception, Stealth","Nonmagicalres, coldimmu, necroticimmu, poisonimmu",Darkvision 60,Any,3.00,"Ethereal Sight, Incorporeal Movement, Spectral Armor and Shield",Curse of Strahd,,Wizards of the Coast
Piercer,Medium,Monstrosity,U,15,22,"5, climb 5",10,13,16,1,7,3,None,Stealth,None,"Blindsight 30, darkvision 60",None,0.50,"False Appearance, Spider Climb",Monster Manual,,Wizards of the Coast
Pixie,Tiny,Fey,NG,15,1,"10, fly 30",2,20,8,10,14,15,None,"Perception, Stealth",None,Normal,Sylvan,0.25,"Magic Resistance, Innate Spellcasting (Psionics)",Monster Manual,,Wizards of the Coast
"Prince of Apocalypse, Imix",Huge,Elemental,NE,17,325,"50, fly 50",19,24,22,15,16,23,"DEX, CON, CHA",None,"Nonmagicalres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,"Common, Ignan",19.00,"Empowered Attacks, Fire Aura, Fire Form, Illumination, Legendary Resistance, Innate Spellcasting, Magic Resistance, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Ogremoch",Gargantuan,Elemental,NE,20,526,"50, burrow 50",26,11,28,11,15,22,"STR, CON, WIS",None,"Nonmagicalres, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu","Blindsight 120, tremorsense 120","Common, Terran",20.00,"Empowered Attacks, Innate Spellcasting, Legendary Resistance, Magic Resistance, Siege Monster, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Olhydra",Huge,Elemental,NE,18,324,"50, swim 100",21,22,24,17,18,23,"STR, CON, WIS",None,"Lightningres, nonmagicalres, acidimmu, coldimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,Aquan,18.00,"Empowered Attacks, Innate Spellcasting, Legendary Resistance, Water Form, Lair",Princes of the Apocalypse,,Wizards of the Coast
"Prince of Apocalypse, Yan-C-BIn",Huge,Elemental,NE,22,283,"50, fly 150",18,24,24,16,21,23,"DEX, WIS, CHA",None,"Coldres, fireres, nonmagicalres, lightningimmu, poisonimmu, thunderimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Blindsight 120,Auran,18.00,"Air Form, Empowered Attacks, Innate Spellcasting, Legendary Resistance, Magic Resistance, Lair",Princes of the Apocalypse,,Wizards of the Coast
Pseudodragon,Tiny,Dragon,NG,13,7,"15, fly 60",6,15,13,10,12,10,None,"Perception, Stealth",None,"Blindsight 10, darkvision 60","Common, Draconic",0.25,"Keen Senses, Magic Resistance, Limited Telepathy",Monster Manual,,Wizards of the Coast
Pterafolk,Large,Monstrosity,NE,12,26,"30, fly 50",15,13,12,9,10,11,None,"Perception, Survival",None,Normal,Common,1.00,Terror Dive,Tomb of Annihilation,,Wizards of the Coast
Purple Worm,Gargantuan,Monstrosity,U,18,247,"50, burrow 30",28,7,22,1,8,4,"CON, WIS",None,None,"Blindsight 30, tremorsense 60",None,15.00,Tunneler,Monster Manual,,Wizards of the Coast
"Purple Worm, Wormling",Large,Monstrosity,U,12,42,20,16,7,16,1,6,2,None,None,None,"Blindsight 30, tremorsense 30",None,2.00,None,Storm King's Thunder,,Wizards of the Coast
Quaggoth,Medium,Humanoid,CN,13,45,"30, climb 30",17,12,16,6,12,7,None,Athletics,"Poisonimmu, poisonedimmu",Darkvision 120,Undercommon,2.00,Wounded Fury,Monster Manual,,Wizards of the Coast
Quickling,Tiny,Fey,CE,16,10,120,4,23,13,10,12,7,None,"Acrobatics, Sleight of Hand, Stealth, Perception",None,Darkvision 60,"Common, Sylvan",1.00,"Blurred Movement, Evasion",Volo's Guide to Monsters,,Wizards of the Coast
Rakshasa,Medium,Fiend,LE,16,110,40,14,17,18,13,16,20,None,"Deception, Insight","Magicalpiercingweak, nonmagicalres",Darkvision 60,"Common, Infernal",13.00,"Limited Magic Immunity, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Redcap,Small,Fey,CE,13,45,25,18,13,18,10,12,9,None,"Athletics, Perception",None,Darkvision 60,"Common, Sylvan",3.00,"Iron Boots, Outsize Strength",Volo's Guide to Monsters,,Wizards of the Coast
Remorhaz,Huge,Monstrosity,U,17,195,"30, burrow 20",24,13,21,4,10,5,None,None,"Coldimmu, fireimmu","Darkvision 60, tremorsense 60",None,11.00,Heated Body,Monster Manual,,Wizards of the Coast
"Remorhaz, Young",Large,Monstrosity,U,14,93,"30, burrow 20",18,13,17,3,10,4,None,None,"Coldimmu, fireimmu","Darkvision 60, tremorsense 60",None,5.00,Heated Body,Monster Manual,,Wizards of the Coast
Retriever,Large,Construct,LE,19,210,"40, climb 40",22,16,20,3,11,4,"DEX, CON, WIS","Perception, Stealth","Necroticimmu, poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu","Blindsight 30, darkvision 60","Abyssal, Elvish, Undercommon",14.00,"Faultless Tracker, Innate Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Revenant,Medium,Undead,N,13,136,30,18,14,18,13,16,18,"STR, CON, WIS, CHA",None,"Necroticres, psychicres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, stunnedimmu",Darkvision 60,Any,5.00,"Regeneration, Rejuvenation, Turn Immunity, Vengeful Tracker",Monster Manual,,Wizards of the Coast
Roc,Gargantuan,Monstrosity,U,15,248,"20, fly 120",28,10,20,3,10,9,"DEX, CON, WIS, CHA",Perception,None,Normal,None,11.00,Keen Sight,Monster Manual,,Wizards of the Coast
Roper,Large,Monstrosity,NE,20,93,"10, climb 10",18,8,17,7,16,6,None,"Perception, Stealth",None,Darkvision 60,None,5.00,"False Appearance, Grasping Tendrils, Spider Climb",Monster Manual,,Wizards of the Coast
Rust Monster,Medium,Monstrosity,U,14,27,40,13,12,13,2,13,6,None,None,None,Darkvision 60,None,0.50,"Iron Scent, Rust Metal",Monster Manual,,Wizards of the Coast
Sahuagin,Medium,Humanoid,LE,12,22,"30, swim 40",13,11,12,12,13,9,None,Perception,None,Darkvision 120,Own,0.50,"Blood Frenzy, Limited Amphibious, Shark Telepathy",Monster Manual,,Wizards of the Coast
Sahuagin Baron,Large,Humanoid,LE,16,76,"30, swim 50",19,15,16,14,13,17,"DEX, CON, INT, WIS",Perception,None,Darkvision 120,Own,5.00,"Blood Frenzy, Limited Amphibious, Shark Telepathy",Monster Manual,,Wizards of the Coast
Sahuagin Priestess,Medium,Humanoid,LE,12,33,"30, swim 40",13,11,12,12,14,13,None,"Perception, Religion",None,Darkvision 120,Own,2.00,"Blood Frenzy, Limited Amphibious, Shark Telepathy, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Salamander,Large,Elemental,NE,15,90,30,18,14,15,11,10,12,None,None,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,5.00,Heated Body,Monster Manual,,Wizards of the Coast
"Salamander, Fire Snake",Medium,Elemental,NE,14,22,30,12,14,11,7,10,8,None,None,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,1.00,"Heated Body, Heated Weapons",Monster Manual,,Wizards of the Coast
"Salamander, Frost",Huge,Elemental,U,17,168,"60, burrow 40, climb 40",20,12,18,7,11,7,"CON, WIS",Perception,"Fireweak, coldimmu","Darkvision 60, tremorsense 60",Primordial,9.00,Burning Fury,Mordenkainen's Tome of Foes,,Wizards of the Coast
Satyr,Medium,Fey,CN,14,31,40,12,16,11,12,10,14,None,"Perception, Performance, Stealth",None,Normal,"Common, Elvish, Sylvan",0.50,Magic Resistance,Monster Manual,,Wizards of the Coast
Scarecrow,Medium,Construct,CE,11,36,30,11,13,11,10,10,13,None,None,"Fireweak, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, unconsciousimmu",Darkvision 60,Creator,1.00,False Appearance,Monster Manual,,Wizards of the Coast
Sea Lion,Large,Monstrosity,U,15,90,"10, swim 40",17,15,15,3,12,8,None,"Perception, Stealth",None,Normal,None,5.00,"Amphibious, Keen Smell, Pack Tactics, Swimming Leap",Tales from the Yawning Portal,,Wizards of the Coast
Sea Spawn,Medium,Humanoid,NE,11,32,"20, swim 30",15,8,15,6,10,8,None,None,None,Darkvision 120,"Aquan, Common",1.00,Limited Amphibiousness,Volo's Guide to Monsters,,Wizards of the Coast
Shadar-Kai Gloom Weaver,Medium,Humanoid (Elf),N,14,104,30,11,18,14,15,12,18,"DEX, CON",None,"Necroticimmu, charmedimmu, exhaustionimmu",Darkvision 60,"Common, Elvish",9.00,"Burden of Time, Fey Ancestry, Innate Spellcasting, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadar-Kai Shadow Dancer,Medium,Humanoid (Elf),N,15,71,30,12,16,13,11,12,12,"DEX, CHA",Stealth,"Necroticimmu, charmedimmu, exhaustionimmu",Darkvision 60,"Common, Elvish",7.00,"Fey Ancestry, Shadow Jump",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadar-Kai Soul Monger,Medium,Humanoid (Elf),N,15,123,30,8,17,14,19,15,13,"DEX, WIS, CHA",Perception,"Necroticimmu, psychicimmu, charmedimmu, exhaustionimmu, frightenedimmu",Darkvision 60,"Common, Elvish",11.00,"Fey Ancestry, Innate Spellcasting, Magic Resistance, Soul Thirst, Weight of Ages",Mordenkainen's Tome of Foes,,Wizards of the Coast
Shadow,Medium,Undead,CE,12,16,40,6,14,13,6,10,8,None,Stealth,"Radiantweak, acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,None,0.50,"Amorphous, Shadow Stealth, Sunlight Weakness",Monster Manual,,Wizards of the Coast
Shadow Mastiff,Medium,Monstrosity,NE,12,33,40,16,14,13,5,12,5,None,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,None,2.00,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,,Wizards of the Coast
Shadow Mastiff Alpha,Medium,Monstrosity,NE,12,48,40,16,14,13,6,12,5,None,"Perception, Stealth","Nonmagicalres, darknessres",Darkvision 60,None,2.00,"Ethereal Awareness, Keen Hearing, Keen Smell, Shadow Blend, Sunlight Weakness",Volo's Guide to Monsters,,Wizards of the Coast
Shambling Mound,Large,Plant,U,15,136,"20, swim 20",18,8,16,5,10,5,None,Stealth,"Coldres, fireres, lightningimmu, blindedimmu, deafenedimmu, exhaustionimmu",Blindsight 60,None,5.00,Lightning Absorption,Monster Manual,,Wizards of the Coast
Shield Guardian,Large,Construct,U,17,142,30,18,8,18,7,1,,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu","Blindsight 10, darkvision 60",Any,7.00,"Bound, Regeneration, Spell Storing",Monster Manual,,Wizards of the Coast
Siren,Medium,Fey,CG,14,38,"30, swim 30",10,18,12,13,14,16,None,"Medicine, Nature, Stealth, Survival",None,Darkvision 60,"Common, Elvish, Sylvan",3.00,"Amphibious, INnate Spellcasting, Magic Resistance",Tales from the Yawning Portal,,Wizards of the Coast
Skeleton,Medium,Undead,LE,13,13,30,10,14,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,0.25,None,Monster Manual,,Wizards of the Coast
"Skeleton, Giant",Huge,Undead,NE,17,115,30,21,10,20,4,6,6,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Giant,7.00,"Evasion, Magic Resistance, Turn Immunity",Tales from the Yawning Portal,,Wizards of the Coast
"Skeleton, Minotaur",Large,Undead,LE,12,67,40,18,11,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Abyssal,2.00,Charge,Monster Manual,,Wizards of the Coast
"Skeleton, Warhorse",Large,Undead,LE,13,22,60,18,12,15,2,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,None,0.50,None,Monster Manual,,Wizards of the Coast
Skulk,Medium,Humanoid,CN,14,18,30,6,19,10,10,7,1,CON,Stealth,"Radiantimmu, blindedimmu",Darkvision 120,Common,0.50,"Fallible Invisibility, Trackless",Mordenkainen's Tome of Foes,,Wizards of the Coast
Skull Lord,Medium,Undead,LE,18,105,30,14,16,17,16,15,21,None,"Athletics, History, Perception, Stealth","Coldres, necroticres, nonmagicalres, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, exhuastionimmu, frightenedimmu, poisonedimmu, stunnedimmu, unconsciousimmu","Legendary Resistance, Master of the Grave, Evasion, Normal Spellcasting",Any,15.00,"Legendary Resistance, Master of the Grave, Evasion, Normal Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Slaad Tadpole,Tiny,Aberration,CN,12,10,30,7,15,10,3,5,3,None,Stealth,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,Own,0.13,Magic Resistance,Monster Manual,,Wizards of the Coast
"Slaad, Blue",Large,Aberration,CN,15,123,30,20,15,18,7,7,9,None,Perception,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,"Own, telepathy 60",7.00,"Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Death",Medium,Aberration,CE,18,170,30,20,15,19,15,10,16,None,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 60, darkvision 60","Own, telepathy 60",10.00,"Shapechanger, Innate Spellcasting, Magic Resistance, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Gray",Medium,Aberration,CN,18,127,30,17,17,16,13,8,14,None,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 60, darkvision 60","Own, telepathy 60",9.00,"Shapechanger, Innate Spellcasting, Magic Resistance, Magic Weapons, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Green",Large,Aberration,CN,16,127,30,18,15,16,11,8,12,None,"Arcana, Perception","Acidres, coldres, fireres, lightningres, thunderres","Blindsight 30, darkvision 60","Own, telepathy 60",8.00,"Shapechanger, Innate Spellcasting, Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
"Slaad, Red",Large,Aberration,CN,14,93,30,16,12,16,6,6,7,None,Perception,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,"Own, telepathy 60",5.00,"Magic Resistance, Regeneration",Monster Manual,,Wizards of the Coast
Slithering Tracker,Medium,Ooze,CE,14,32,"30, climb 30, swim 30",16,19,15,10,14,11,None,Stealth,"COldweak,fireweak, nonmagicalres, blindedimmu, deafenedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, unconsciousimmu",Blindsight 120,Any,3.00,"Ambusher, Damage Transfer, False Appearance, Keen Tracker, Liquid Form, Spider Climb, Watery Stealth",Volo's Guide to Monsters,,Wizards of the Coast
"Sorrowsworn, The Angry",Medium,Monstrosity,NE,18,255,30,17,10,19,8,13,6,None,Perception,Darknessres,Darkvision 60,Common,13.00,"Two Heads, Rising Anger",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Hungry",Medium,Monstrosity,NE,17,225,30,19,10,17,6,11,6,None,None,Darknessres,Darkvision 60,Common,11.00,Life Hunger,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Lonely",Medium,Monstrosity,NE,16,112,30,16,12,17,6,11,6,None,None,Darknessres,Darkvision 60,Common,9.00,"Psychic Leech, Thrives on Company",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Lost",Medium,Monstrosity,NE,15,78,30,17,12,15,6,7,5,None,Athletics,Darknessres,Darkvision 60,Common,7.00,None,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Sorrowsworn, The Wretched",Small,Monstrosity,NE,15,10,40,7,12,9,5,6,5,None,None,Darknessres,Darkvision 60,None,0.25,Wretched Pack Tactics,Mordenkainen's Tome of Foes,,Wizards of the Coast
Spawn of Kyuss,Medium,Undead,CE,10,76,30,16,11,18,5,7,3,WIS,None,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,5.00,"Regeneration, Worms",Volo's Guide to Monsters,,Wizards of the Coast
Specter,Medium,Undead,CE,12,22,fly 50,1,14,11,10,10,11,None,None,"Acidres, coldres, fireres, lightningres, thunderres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Any,1.00,"Incorporeal Movement, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
"Sphinx, Andro",Large,Monstrosity,LN,17,199,"40, fly 60",22,10,20,16,18,23,"DEX, CON, INT, WIS","Arcana, Perception, Religion","Psychicimmu, nonmagicalimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",17.00,"Inscrutable, Magic Weapons, Normal Spellcasting, Lair, Legendary",Monster Manual,,Wizards of the Coast
"Sphinx, Gyno",Large,Monstrosity,LN,17,136,"40, fly 60",18,15,16,18,18,18,None,"Arcana, History, Perception, Religion","Nonmagicalres, psychicimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",11.00,"Inscrutable, Magic Weapons, Normal Spellcasting, Legendary, Lair",Monster Manual,,Wizards of the Coast
Sprite,Tiny,Fey,NG,15,2,"10, fly 40",3,18,10,14,13,11,None,"Perception, Stealth",None,Normal,"Common, Elvish, Sylvan",0.25,None,Monster Manual,,Wizards of the Coast
Star Spawn Grue,Small,Aberration,NE,11,17,30,6,13,10,9,11,6,None,None,Psychicimmu,Darkvision 60,Deep Speech,0.25,Aura of Madness,Mordenkainen's Tome of Foes,,Wizards of the Coast
Star Spawn Hulk,Large,Aberration,CE,16,136,30,20,8,21,7,12,9,"DEX, WIS",Perception,"Nonmagicalres, charmedimmu, frightenedimmu",Darkvision 60,Deep Speech,10.00,Psychic Mirror,Mordenkainen's Tome of Foes,,Wizards of the Coast
